What's your relationship to renting in Bengaluru right now?,Where do you live in Bangalore?,"When your rent was last renewed, how much did it go up?","When your landlord last hiked the rent, what happened?",The security deposit you paid was roughly…,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,Took on flatmates I'd rather not have,Dipped into savings to keep up,Delayed other financial goals,None of these,What's the most you'd pay in rent before you'd rather just leave Bengaluru?,Do you think Bengaluru should put a limit on how much rent can go up?,Roughly what share of your monthly take-home pay goes towards rent?,What do you think is the biggest reason Bengaluru rents have risen?,What is the hardest part of renting in Bengaluru today?,How old are you?,What best describes your work right now?,Response Type
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",3–5 months,,,,,,None of these,I'd never leave over rent,Strongly agree,Under 20%,Landlords taking advantage,Places closer to office is shit expensive and travelling is a pain too,25 – 34,Not working right now,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",More than 40%,"I pushed back, and they didn't budge",More than 10 months,,,,Dipped into savings to keep up,,,Another 25%,Strongly agree,40–50%,Landlords taking advantage,Lack of trust towards non Kannadiga Bangalore landlords are having.,35 – 44,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I pushed back, and they didn't budge",3–5 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,,,Delayed other financial goals,,Another 25%,Agree,Under 20%,Brokers,Finding a property that matches your basic needs of light and space at a decent price,25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",It didn't go up,Haven't faced a rent hike,1–2 months' rent,,,,,,None of these,Another 10% and I'm out,Strongly agree,Under 20%,Landlords taking advantage,,35 – 44,Senior career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",3–5 months,,,,,,None of these,Another 10% and I'm out,Strongly agree,Under 20%,Landlords taking advantage,"It has stopped feeling like you're renting an apartment, but feels more like you're paying someone else's home loan EMI. The deposits charged are in correlation to the rent, and with exorbitant rents, it's a double-edged sword. Also think given tax concessions for rent, higher-salaried IT folks don't mind paying this rent, increasing the rent pricing for all. Pay higher in rent, pay less in taxes, and maintain a higher standard of living because you can afford to. (it's a twisted logic, but I think there's something there).",25 – 34,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Haven't renewed / not applicable,Haven't faced a rent hike,1–2 months' rent,,,,,,None of these,I'd never leave over rent,Disagree,Under 20%,Brokers,Price gauging for outsiders; Outsiders not considering to live alternative comfortable non-society apartments; broken relationship due to greedy landlords; just-need-a-quick-buck brokers,25 – 34,Mid career,completed
I pay rent,"North (Hebbal, Yelahanka, Airport side)",Up to 10%,"I paid it, no discussion",3–5 months,Moved somewhere with a much longer commute,,,,,,Another 25%,Not sure,20–30%,Something else,Areas near offices are unaffordable and unliveable. Staying in affordable areas makes you spend eternity on Bangalore roads. Metro connectivity would put BSNL to shame.,25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",It didn't go up,"I paid it, no discussion",3–5 months,,Downgraded to a smaller/older place,Took on flatmates I'd rather not have,,,,I'm already past my limit,Not sure,Under 20%,Too many people moving here,Judgy landlords,35 – 44,Senior career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",3–5 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,,Dipped into savings to keep up,Delayed other financial goals,,I'm already past my limit,Strongly agree,40–50%,Landlords taking advantage,,25 – 34,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",It didn't go up,Haven't faced a rent hike,3–5 months,,,,Dipped into savings to keep up,Delayed other financial goals,,Another 10% and I'm out,Strongly agree,Under 20%,Landlords taking advantage,Finding a place that justifies the asking rent. Low rent places are all concrete barnacles and high end places are way too overpriced for the facilities they come with,25 – 34,Mid career,completed
I pay rent,"North (Hebbal, Yelahanka, Airport side)",11–20%,I negotiated it down,3–5 months,,,,,Delayed other financial goals,None of these,Another 25%,Strongly agree,Under 20%,Landlords taking advantage,"Painting charges, enormous deposits, high rents, high maintenance",25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Haven't renewed / not applicable,Haven't faced a rent hike,3–5 months,Moved somewhere with a much longer commute,,,,,,I'd never leave over rent,Strongly agree,Under 20%,Landlords taking advantage,"The random deposit which the owners demand, makes no sense. Am I responsible for the children’s education/marriage?",25 – 34,Mid career,completed
I pay rent,Outer / just outside city limits,Up to 10%,"I paid it, no discussion",1–2 months' rent,,,,,Delayed other financial goals,,I'm already past my limit,Strongly agree,20–30%,Something else,1 month rent is deducted at leaving for painting walls,35 – 44,Senior career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Haven't renewed / not applicable,Haven't faced a rent hike,1–2 months' rent,,Downgraded to a smaller/older place,,,Delayed other financial goals,,Another 25%,Not sure,Under 20%,Too many people moving here,"If its close, its dilapidated/not luxurious/not clean enough. All parameters do not line up",Under 25,Early career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",11–20%,"I pushed back, and they didn't budge",3–5 months,,,,,Delayed other financial goals,,I'm already past my limit,Strongly agree,20–30%,Landlords taking advantage,"Even if the rents are sky high, the houses aren't nearly good enough to match it. Yes tech bros have inflated rents as well, but landlords need to come back to earth about the kind of places they are renting as well when it comes to the amount of rent they are charging",25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Haven't renewed / not applicable,Haven't faced a rent hike,3–5 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,,,,,Another 25%,Agree,20–30%,Not enough housing,,Under 25,Early career,completed
I pay rent,"West (Rajajinagar, Malleshwaram, Vijayanagar)",11–20%,I walked/moved out over it,6–8 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,,,Delayed other financial goals,,I'm already past my limit,Strongly agree,20–30%,Too many people moving here,Security Deposit without interest or return gurrantee,25 – 34,Mid career,completed
I pay rent,Outer / just outside city limits,Haven't renewed / not applicable,I negotiated it down,6–8 months,,,,,,None of these,Another 10% and I'm out,Strongly agree,20–30%,IT salaries,Sky high rents,25 – 34,Early career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",3–5 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,Took on flatmates I'd rather not have,Dipped into savings to keep up,Delayed other financial goals,,I'm already past my limit,Strongly agree,40–50%,Landlords taking advantage,,25 – 34,Early career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Haven't renewed / not applicable,Haven't faced a rent hike,6–8 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,,,,,I'd never leave over rent,Strongly agree,Under 20%,Landlords taking advantage,Not sure about getting back our deposits,25 – 34,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I pushed back, and they didn't budge",3–5 months,,Downgraded to a smaller/older place,Took on flatmates I'd rather not have,,,,Another 10% and I'm out,Strongly agree,Under 20%,Landlords taking advantage,Brokerage and avoiding frauds,Under 25,Early career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",11–20%,"I paid it, no discussion",6–8 months,,Downgraded to a smaller/older place,Took on flatmates I'd rather not have,,Delayed other financial goals,,I'd never leave over rent,Strongly agree,Under 20%,Landlords taking advantage,Finding a decent house that is livable and not far from the office location,25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",3–5 months,,,,,,None of these,I'd never leave over rent,Agree,Under 20%,Brokers,"1. You lose a month's rent from your deposit for ""painting charges""

2. You lose another month's of rent in brokerage

3. You need to pay a significant deposit amount which you will lose 2/3rd of when you move out later. 

4. You need to move with the job, so you never know when you'll have to move out again.",25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",3–5 months,,,,,,None of these,Another 25%,Strongly agree,Under 20%,Too many people moving here,Quality for the rent being paid. Almost all the 'good' flats have to be sourced via a broker. Moving in/moving out charges by the association,35 – 44,Senior career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",It didn't go up,"I paid it, no discussion",3–5 months,,,,,,None of these,Another 25%,Not sure,20–30%,Landlords taking advantage,,25 – 34,Self-employed / run my own business,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",3–5 months,,Downgraded to a smaller/older place,,Dipped into savings to keep up,Delayed other financial goals,,I'll pay whatever it takes to stay,Strongly agree,20–30%,Landlords taking advantage,Lack of supply of apartments and poor negotiation power with tenants,35 – 44,Mid career,completed
I pay rent,"North (Hebbal, Yelahanka, Airport side)",Up to 10%,"I paid it, no discussion",3–5 months,,,,Dipped into savings to keep up,,,Another 25%,Strongly agree,20–30%,Landlords taking advantage,Finding a decent place without a broker,25 – 34,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",11–20%,I negotiated it down,3–5 months,,Downgraded to a smaller/older place,,Dipped into savings to keep up,Delayed other financial goals,,Another 10% and I'm out,Strongly agree,30–40%,Too many people moving here,"The overheads - they are significant and unpredictable. The tenant takes care of repairs, electricity and gas, maintenance and at the end of a lease - also of repainting and replacements. The switching cost of homes for a family including landlord deductions, packing and moving and associated expenses has started touching 6 figures.",25 – 34,Mid career,completed
I pay rent,"North (Hebbal, Yelahanka, Airport side)",Haven't renewed / not applicable,Haven't faced a rent hike,3–5 months,,,,Dipped into savings to keep up,Delayed other financial goals,,I'd never leave over rent,Strongly agree,20–30%,Landlords taking advantage,Finding a nice landlord… its a relationship that needs to be beyond transactional,25 – 34,Early career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Haven't renewed / not applicable,Haven't faced a rent hike,3–5 months,,,,,,None of these,Another 10% and I'm out,Strongly agree,Under 20%,Landlords taking advantage,"The security deposits are unreasonable. When I was looking for a 1RK in Rajajinagar, even for rents under 10k, owners were asking for deposits over 1 lakh.",25 – 34,Self-employed / run my own business,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",More than 40%,I walked/moved out over it,3–5 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,,,Delayed other financial goals,,I'm already past my limit,Strongly agree,Under 20%,Landlords taking advantage,,25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,I walked/moved out over it,1–2 months' rent,,Downgraded to a smaller/older place,,,,,I'm already past my limit,Not sure,20–30%,Landlords taking advantage,"Finding a place with proper facilities, if things are good, deposit is a lot, there will be some trade off.",25 – 34,Early career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",11–20%,"I pushed back, and they didn't budge",3–5 months,,,Took on flatmates I'd rather not have,Dipped into savings to keep up,Delayed other financial goals,,I'm already past my limit,Strongly agree,20–30%,Landlords taking advantage,Landlords and their whimsical rules,25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",3–5 months,,Downgraded to a smaller/older place,,,Delayed other financial goals,,I'm already past my limit,Strongly agree,Under 20%,Landlords taking advantage,"Taking time to decide - the ""good"" places or even the ""decent"" places go off so quickly you don't have time to weigh options - like you did even 3 years ago. Most of the brokers I've interacted with are scammers who sell up the house to you and then the landlord adds rules to the place once you move in. Not to forget it COSTS so much to just live a life in the city.",25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,I negotiated it down,1–2 months' rent,,,,,,None of these,Another 25%,Strongly agree,Under 20%,Too many people moving here,The rents are unreasonable most of the time. And this is to do with property rates which is just purely based of certain mafia who owns the lands and builders.,25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I pushed back, and they didn't budge",6–8 months,,Downgraded to a smaller/older place,,,,,Another 25%,Strongly agree,20–30%,Landlords taking advantage,,Under 25,Early career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I pushed back, and they didn't budge",6–8 months,,,Took on flatmates I'd rather not have,,,,I'm already past my limit,Strongly agree,20–30%,Too many people moving here,,25 – 34,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",11–20%,"I paid it, no discussion",3–5 months,,,,,,None of these,I'd never leave over rent,Strongly agree,20–30%,Landlords taking advantage,Finding good propertly at affordable price,25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Haven't renewed / not applicable,Haven't faced a rent hike,3–5 months,,,,,,None of these,Another 10% and I'm out,Strongly agree,20–30%,IT salaries,Seamlessly able to find and visit homes in a particular area,25 – 34,Early career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Haven't renewed / not applicable,Haven't faced a rent hike,1–2 months' rent,,,,,Delayed other financial goals,,Another 10% and I'm out,Strongly agree,20–30%,Too many people moving here,Finding a house that’s close to work,Under 25,Early career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",6–8 months,,,,,,None of these,I'd never leave over rent,Agree,Under 20%,Too many people moving here,,35 – 44,Senior career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",11–20%,I walked/moved out over it,3–5 months,Moved somewhere with a much longer commute,,,,,,Another 10% and I'm out,Strongly agree,30–40%,Landlords taking advantage,,25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I pushed back, and they didn't budge",3–5 months,,,,,Delayed other financial goals,,Another 10% and I'm out,Strongly agree,20–30%,Landlords taking advantage,No checks on landlords whatsoever and no legal redressal for tenants.,35 – 44,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Haven't renewed / not applicable,Haven't faced a rent hike,3–5 months,,,,,Delayed other financial goals,,I'd never leave over rent,Strongly agree,20–30%,IT salaries,"The number of hoops you have to jump through just to live comfortably. The said comfort comes at a cost of stress — financial and emotional, both — which renders the gained “comfort” more or less obsolete.",25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,I negotiated it down,1–2 months' rent,,,Took on flatmates I'd rather not have,,,,I'd never leave over rent,Strongly agree,Under 20%,Landlords taking advantage,"Finding a place as a bachelor, especially if you are from a marginalized community.",25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",6–8 months,Moved somewhere with a much longer commute,,,Dipped into savings to keep up,Delayed other financial goals,,I'll pay whatever it takes to stay,Not sure,20–30%,Landlords taking advantage,,45 – 54,Self-employed / run my own business,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",3–5 months,,,,Dipped into savings to keep up,Delayed other financial goals,,Another 10% and I'm out,Strongly agree,20–30%,Landlords taking advantage,"Finding a reasonably priced house in a good locality (read safe) is difficult. Especially in gated communities. On top of that, landlords often demand security deposits of 4 to 5 months' rent and impose unusual conditions, such as asking for your work experience, restricting friends or family from staying for extended periods, and withholding up to 1.5 months' rent from the security deposit when you move out.",25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",3–5 months,,,Took on flatmates I'd rather not have,,Delayed other financial goals,,I'm already past my limit,Strongly agree,20–30%,Landlords taking advantage,"I feel this is true for every Indian city but the fact is, it doesn't matter if there are rental regulations because in reality if one tries to bring up the legalities or illegalities of renting, then landlords will simply ask them to find another house. That's why they get to dictate their terms. 

For instance, in Bangalore landlords are still asking for an exorbitant security deposit despite the new regulation. Secondly, generally landlords demand rent in cash to evade taxes. Thirdly, they enforce rules on food habits, castes and religion and there's nothing one can do about any of this. The entire housing system is titled in favour of the landed.",35 – 44,Senior career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I pushed back, and they didn't budge",3–5 months,,Downgraded to a smaller/older place,,,,,I'm already past my limit,Strongly agree,Over 50%,Not enough housing,,25 – 34,Early career,completed
I pay rent,"North (Hebbal, Yelahanka, Airport side)",11–20%,"I pushed back, and they didn't budge",6–8 months,,,,,Delayed other financial goals,,I'm already past my limit,Disagree,Under 20%,Too many people moving here,,25 – 34,Mid career,completed
I pay rent,"North (Hebbal, Yelahanka, Airport side)",Up to 10%,"I pushed back, and they didn't budge",6–8 months,Moved somewhere with a much longer commute,,Took on flatmates I'd rather not have,Dipped into savings to keep up,Delayed other financial goals,,I'll pay whatever it takes to stay,Strongly agree,20–30%,IT salaries,difficulty finding decent enough houses. balconies and well-ventilated flats becoming a commodity instead of a necessity. insanely high security that we might never get back. high prices for what reason idk.,25 – 34,Self-employed / run my own business,completed
I pay rent,"North (Hebbal, Yelahanka, Airport side)",21–40%,"I pushed back, and they didn't budge",3–5 months,,,,,Delayed other financial goals,,I'd never leave over rent,Strongly agree,20–30%,Too many people moving here,Deposits,Under 25,Self-employed / run my own business,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",21–40%,"I pushed back, and they didn't budge",3–5 months,,,,,,None of these,I'd never leave over rent,Strongly disagree,20–30%,IT salaries,"On account of traffic, you want to stay close to the workplace but that is getting extremely difficult",35 – 44,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",3–5 months,,,,,,None of these,Another 25%,Strongly agree,Under 20%,Landlords taking advantage,Many landlords require rent to be paid out in cash and do not provide any receipts,25 – 34,Early career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Haven't renewed / not applicable,I walked/moved out over it,3–5 months,,,,,Delayed other financial goals,,Another 10% and I'm out,Strongly agree,20–30%,Landlords taking advantage,,25 – 34,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Haven't renewed / not applicable,Haven't faced a rent hike,1–2 months' rent,,,Took on flatmates I'd rather not have,Dipped into savings to keep up,,,I'm already past my limit,Strongly agree,20–30%,Too many people moving here,Deposit amount and lack of fair marketplace,Under 25,Early career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",It didn't go up,Haven't faced a rent hike,3–5 months,,,,,,None of these,I'd never leave over rent,Disagree,Under 20%,Landlords taking advantage,job market is volatile but rent is a fixed monthly expense,35 – 44,Senior career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,I negotiated it down,3–5 months,,,,,Delayed other financial goals,,I'll pay whatever it takes to stay,Strongly agree,20–30%,Landlords taking advantage,"Brokers have captured the market and they are inflating the rent. On exit the owners deduct 1 month+ rent as painting charges. It is a lose lose for tenants. If you move, you pay 2 month of extra rent for security deduction and brokerage. If you don't you are stuck with the owners.",25 – 34,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",3–5 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,Took on flatmates I'd rather not have,,,,Another 25%,Strongly agree,20–30%,IT salaries,"It's hard to get any decent houses with lift, etc. without a broker. And when rents are high, paying one month rent as brokerage makes it punishing. Especially because deposits are minimum 1 lakh and are often 3 lakh and above for 2 bhks. And the mandatory ""1 month rent will be deducted as painting charges"" clause in all rent agreements is unfair. If someone needs to rent a house for just one year, they end up paying rent for 11 months + 2 months (brokerage &  painting charges). The house owners sometimes deduct charges over this for repairs, etc. 

And in gated communities, there are people who informally do brokerage work who take money even if you found the house through a message on a group shared by the house owner -- my sister ended up paying 30K to a lady who had the key and showed the house to them despite coming across the house through a message from the owner in a WhatsApp group. And in fancy gated communities, it becomes a matter of pride and embarassment to push back or fight such a thing. 

Also, I've seen house owners openly telling my muslim friend no and one even followed it up with ""there are terrorist problems these days"".",25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",11–20%,I negotiated it down,1–2 months' rent,,Downgraded to a smaller/older place,,Dipped into savings to keep up,Delayed other financial goals,,I'd never leave over rent,Strongly agree,20–30%,Landlords taking advantage,"I stay in a PG, but the rent has randomly hiked 3-4 times within a year, which made no sense",25 – 34,Early career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",11–20%,"I paid it, no discussion",6–8 months,,,,,,None of these,I'll pay whatever it takes to stay,Strongly agree,Under 20%,Landlords taking advantage,,Under 25,Early career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",6–8 months,,,,,Delayed other financial goals,,Another 25%,Strongly agree,20–30%,Landlords taking advantage,Getting fresh air and natural light are a premium,25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",3–5 months,,,,,,None of these,I'd never leave over rent,Strongly agree,Under 20%,Landlords taking advantage,Landlords are selective. Can stop entertaining based on LinkedIn profiles.,35 – 44,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",6–8 months,,Downgraded to a smaller/older place,,,,,I'll pay whatever it takes to stay,Strongly agree,Under 20%,Landlords taking advantage,Finding leads in good societies.,25 – 34,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",1–2 months' rent,,Downgraded to a smaller/older place,Took on flatmates I'd rather not have,,Delayed other financial goals,,Another 25%,Strongly agree,20–30%,Landlords taking advantage,Sky high rents for basic apartments near office - no cap on rent increases or enforcement on landlords to cap deposits etc.,25 – 34,Early career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,I negotiated it down,1–2 months' rent,,,,,,None of these,I'd never leave over rent,Disagree,Under 20%,Not enough housing,"Renting is okay, free market, voluntary negotiation between buyer and sellers. Sellers have higher power due to Black Money involved in buying property, government policy on building codes, FSI and poor infrastructure in most places.",25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",11–20%,I negotiated it down,3–5 months,,,,,,None of these,Another 25%,Agree,Under 20%,Too many people moving here,,25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,I walked/moved out over it,3–5 months,,Downgraded to a smaller/older place,,Dipped into savings to keep up,,,I'd never leave over rent,Disagree,20–30%,Too many people moving here,,35 – 44,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",11–20%,"I pushed back, and they didn't budge",3–5 months,,,,,Delayed other financial goals,,Another 25%,Not sure,20–30%,Not enough housing,Owners can dictate all terms (5 month deposit and 1 month painting charge is unheard of anywhere else in India). Rent are just high.,25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,I negotiated it down,3–5 months,,,,Dipped into savings to keep up,,,I'd never leave over rent,Agree,20–30%,IT salaries,,Under 25,Early career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,I walked/moved out over it,3–5 months,,,Took on flatmates I'd rather not have,Dipped into savings to keep up,,,I'm already past my limit,Agree,20–30%,Landlords taking advantage,,25 – 34,Early career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,I negotiated it down,6–8 months,,,,,Delayed other financial goals,,Another 25%,Agree,20–30%,Too many people moving here,,,Not working right now,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",More than 10 months,,,Took on flatmates I'd rather not have,,,,Another 25%,Strongly agree,Under 20%,Too many people moving here,"The deposit, the water, and power backup",35 – 44,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",3–5 months,,,,,Delayed other financial goals,,Another 10% and I'm out,,Under 20%,Landlords taking advantage,Broker,35 – 44,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",3–5 months,,,,,Delayed other financial goals,None of these,I'd never leave over rent,Strongly agree,20–30%,Landlords taking advantage,Insane rates for no facilities,25 – 34,Early career,completed
I pay rent,Outer / just outside city limits,Up to 10%,"I paid it, no discussion",9–10 months,,,,,,None of these,I'd never leave over rent,Agree,20–30%,Too many people moving here,,55 and above,Not working right now,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,I negotiated it down,3–5 months,,Downgraded to a smaller/older place,Took on flatmates I'd rather not have,,,,I'd never leave over rent,Strongly agree,Under 20%,IT salaries,,Under 25,Early career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",3–5 months,,,,Dipped into savings to keep up,Delayed other financial goals,,Another 25%,Strongly agree,20–30%,Too many people moving here,Rents are extremely high and landlords are very finicky. Deposits are the highest across the country.,25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",21–40%,"I pushed back, and they didn't budge",3–5 months,,,,Dipped into savings to keep up,,,I'm already past my limit,Strongly agree,20–30%,Something else,Finding a house owner with empathy who understands not everyone is making 24LPA+,25 – 34,Early career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",3–5 months,,,,,,None of these,I'd never leave over rent,Strongly agree,Under 20%,Too many people moving here,finding the right balance between location and affordable rent,45 – 54,Self-employed / run my own business,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",3–5 months,,,,,,None of these,Another 10% and I'm out,Agree,Under 20%,Too many people moving here,Finding a flat in a gated society,25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",1–2 months' rent,,,,Dipped into savings to keep up,Delayed other financial goals,,Another 10% and I'm out,Strongly agree,30–40%,Too many people moving here,Finding well maintained homes,45 – 54,Senior career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I pushed back, and they didn't budge",3–5 months,,,,,Delayed other financial goals,,I'd never leave over rent,Strongly agree,Under 20%,Landlords taking advantage,,35 – 44,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",9–10 months,,Downgraded to a smaller/older place,,,Delayed other financial goals,,I'll pay whatever it takes to stay,Strongly agree,20–30%,Landlords taking advantage,Rent amount,35 – 44,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",,I negotiated it down,3–5 months,,,,,,,I'd never leave over rent,Strongly agree,,Something else,,45 – 54,,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",It didn't go up,,6–8 months,,Downgraded to a smaller/older place,,,,,Another 25%,Strongly agree,,Too many people moving here,No negotiation power for the tenant. Landlord do most of the talking & dictate,35 – 44,,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",3–5 months,,Downgraded to a smaller/older place,,,Delayed other financial goals,,Another 10% and I'm out,Strongly agree,20–30%,Landlords taking advantage,"If I want a new house that has a modular kitchen and attached bathroom, I need to pay at least 50-70% of my take-home salary. In my budget, all I can afford is dingy houses that are not at all maintained, the kitchen is just there, no sunlight coming in - all this in Indiranagar. We just cannot afford a good life.",25 – 34,,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",,"I paid it, no discussion",3–5 months,,,,,,,I'm already past my limit,Agree,40–50%,Landlords taking advantage,Being single is a costly affair in Bangalore.,25 – 34,Early career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",21–40%,I walked/moved out over it,6–8 months,Moved somewhere with a much longer commute,,,,Delayed other financial goals,,Another 10% and I'm out,Strongly agree,Under 20%,Too many people moving here,Security Deposit,35 – 44,Mid career,completed
